date,price,price_change,moving_average_7,moving_average_30,price_volatility,target
2024-07-17 00:00:00,65162.23625234354,0.005039624447541247,60440.636655074355,61070.04425762232,3077.6973860489293,1
2024-07-18 00:00:00,64136.31384360687,-0.015744125244010032,61359.50973495207,60992.57508643924,2964.505910950442,0
2024-07-19 00:00:00,63959.56900809379,-0.002755768533003966,62298.27781051309,60954.250226302676,2916.49297367968,0
2024-07-20 00:00:00,66689.54880734957,0.04268289861225161,63554.029217635034,61013.66603296089,3016.2486908243836,1
2024-07-21 00:00:00,67206.06470614894,0.007745080121796422,64704.50715581734,61092.3790425666,3147.622160688655,1
2024-07-22 00:00:00,68088.13996324532,0.013124935390178782,65725.33747342911,61226.26289851779,3357.160411189192,1
2024-07-23 00:00:00,67607.71339918874,-0.007055950776683417,66121.36942571096,61338.523228886355,3514.0509299153828,0
2024-07-24 00:00:00,65942.41746522837,-0.02463174466687923,66232.82388469452,61429.225231581484,3598.4289497554146,0
2024-07-25 00:00:00,65403.53513022529,-0.00817201364034359,66413.85549706858,61597.235236745786,3664.009577684748,0
2024-07-26 00:00:00,65749.96361965332,0.005296785391466274,66669.6261558628,61729.88689506438,3741.709399528684,1
2024-07-27 00:00:00,67920.2964857025,0.03300888314713002,66845.44725277035,61968.90023812046,3902.511372958679,1
2024-07-28 00:00:00,68055.40838968738,0.001989271410399507,66966.78206470443,62185.32567359336,4056.215302460623,1
2024-07-29 00:00:00,68242.2474440493,0.0027453961232892787,66988.79741910499,62449.49735574664,4186.3325129801715,1
2024-07-30 00:00:00,66770.32091848266,-0.02156913906995006,66869.16992186126,62646.35994763158,4247.6382501836515,0
2024-07-31 00:00:00,66219.05102486102,-0.00825621153288536,66908.68900180879,62762.51518714512,4297.481623420561,0
2024-08-01 00:00:00,64679.778647032515,-0.023245159119701153,66805.29521849552,62824.51373307225,4311.729796439157,0
2024-08-02 00:00:00,65357.52960767435,0.010478560298426753,66749.23321678424,62935.01255209138,4333.421946696644,1
2024-08-03 00:00:00,61407.29547397454,-0.060440383187860935,65818.80450082311,62973.76637574616,4313.68634197917,0
2024-08-04 00:00:00,60738.7449250574,-0.010887151823849361,64773.56686301882,63092.0854024452,4196.6433115915515,0
2024-08-05 00:00:00,58006.206586686734,-0.044988389894164094,63311.27531196703,63134.29686029903,4136.484494517968,0
2024-08-06 00:00:00,53956.26184159744,-0.06981916217942807,61480.695443840574,62991.822783211384,4377.783241185192,0
2024-08-07 00:00:00,55959.84107399357,0.03713339590274356,60015.09402228808,62994.47163975548,4373.353755931285,1
2024-08-08 00:00:00,55099.95181146735,-0.015366184857266152,58646.54733149306,62942.29867568705,4459.943645129696,0
2024-08-09 00:00:00,61859.03159904161,0.12266943192076574,58146.76190168837,63071.3229452523,4366.69923408772,1
2024-08-10 00:00:00,60912.588533350805,-0.015299998096081957,58076.08948159928,63178.269153548565,4268.912601419032,0
2024-08-11 00:00:00,60887.70861641504,-0.00040845279333590057,58097.37000893609,63294.919691456846,4151.43634635505,0
2024-08-12 00:00:00,58804.23449992608,-0.03421830388813907,58211.3739965417,63325.08454287119,4113.998027431674,0
2024-08-13 00:00:00,59350.07433270696,0.009282321884175992,58981.91863812877,63331.663049332325,4107.2483788677855,1
2024-08-14 00:00:00,60601.22317789727,0.02108083029814889,59644.97322440073,63320.29289726346,4114.556532796744,1
2024-08-15 00:00:00,58739.19382231015,-0.030725936836638712,60164.86494023541,63117.08303356661,4187.0469727464815,0
2024-08-16 00:00:00,57624.11692852191,-0.018983523968024274,59559.87713016117,62865.81238943923,4285.12030592982,0
2024-08-17 00:00:00,58881.92579151217,0.021827820191161917,59269.78245275565,62690.66612103607,4338.45005325279,1
2024-08-18 00:00:00,59430.79163445865,0.009321465552772246,59061.6514553333,62539.70687524823,4371.440713301135,1
2024-08-19 00:00:00,58438.293742685404,-0.01670006177736627,59009.37420429893,62264.66503975943,4360.901064244585,0
2024-08-20 00:00:00,59574.945812940874,0.019450466422930912,59041.498701475204,62010.29440998582,4284.624922260178,1
2024-08-21 00:00:00,59060.12610074137,-0.008641547301041386,58821.34197616722,61709.36061456902,4158.20237609381,0
2024-08-22 00:00:00,61144.68762866613,0.03529558207121042,59164.98394850379,61493.926422218276,4006.738704285558,1
2024-08-23 00:00:00,60387.54062321362,-0.01238287469960897,59559.758762031175,61308.76386081778,3921.519577216801,0
2024-08-24 00:00:00,64049.68561555576,0.06064404932785705,60298.01016546598,61263.63554366213,3880.3464180889487,1
2024-08-25 00:00:00,64157.1606134782,0.0016779941523450415,60973.20573389734,61210.54211012296,3827.3802229082835,1
2024-08-26 00:00:00,64265.81631272862,0.0016935864712752657,61805.70895818923,61088.72610435716,3661.0016730174084,1
2024-08-27 00:00:00,62922.58634676265,-0.02090115776993451,62283.943320163766,60917.63203625967,3437.2967032802126,0
2024-08-28 00:00:00,59526.560879590994,-0.05397148566742571,62350.576859999426,60627.10915077773,3153.477729079844,0
2024-08-29 00:00:00,59015.29633887944,-0.008588847283580336,62046.37810431561,60368.60833145762,2943.387922201755,0
2024-08-30 00:00:00,59351.5794909728,0.005698237117413463,61898.38365685264,60139.69261366134,2732.1649691085127,1
2024-08-31 00:00:00,59156.246036463555,-0.003291124788666333,61199.320859839456,59955.57485997572,2598.506485480295,0
2024-09-01 00:00:00,58960.23658664587,-0.0033134193420060187,60456.90314172056,59742.33175927477,2394.3917756210303,0
2024-09-02 00:00:00,57357.71617282246,-0.027179680859461985,59470.031693162535,59607.3457825697,2411.3803328953604,0
2024-09-03 00:00:00,59108.73235863689,0.030527996974958116,58925.19540914457,59553.012030355676,2403.358891034884,1
2024-09-04 00:00:00,57504.538586220435,-0.027139708608250213,58636.33508152021,59536.28976367346,2416.2034351368775,0
2024-09-05 00:00:00,57987.84601410068,0.008404683173930616,58489.556463694666,59670.67590275691,2197.351929515034,1
2024-09-06 00:00:00,56132.404732088595,-0.03199707196506152,58029.67435528264,59676.428024693414,2187.5067267346913,0
2024-09-07 00:00:00,53923.35611071905,-0.03935424879644833,57282.118651604855,59637.2081680018,2280.940071686609,0
2024-09-08 00:00:00,54150.9383589072,0.004220476331644907,56595.07604764219,59380.27172666399,2449.9127902915648,1
2024-09-09 00:00:00,54792.40755768575,0.0118459479783517,56228.603388336945,59176.265694141824,2569.798440497842,1
2024-09-10 00:00:00,57049.118751143265,0.04118656751999139,55934.37287298071,59048.312698632755,2577.1985250487246,1
2024-09-11 00:00:00,57624.16178336144,0.010079788168623427,55951.46190114371,59008.97694141394,2590.0261448313695,1
2024-09-12 00:00:00,57381.764445000474,-0.004206522591552075,55864.87881984369,58943.366611823716,2605.9690044605277,0
2024-09-13 00:00:00,58106.951229815284,0.012637931088889554,56146.95689094749,58860.22421355432,2590.9982210294047,1
2024-09-14 00:00:00,60620.62747295754,0.04325947567272226,57103.70994269585,58922.93866857591,2610.6628822237353,1
2024-09-15 00:00:00,60003.29940083042,-0.010183465560505756,57939.76152011345,59002.24475098619,2605.979977244273,0
2024-09-16 00:00:00,59214.80226801806,-0.013140896262138768,58571.532193018065,59013.340633536376,2606.1586747409297,0
2024-09-17 00:00:00,58211.123231286256,-0.0169497996833452,58737.53283303849,58972.6850200973,2608.9337837718267,0
2024-09-18 00:00:00,60317.0319794625,0.03617708491569527,59122.22857533865,59035.309627989875,2618.1960663880295,1
2024-09-19 00:00:00,61440.41208494509,0.01862459190407595,59702.03538104502,59097.49183705668,2653.370533296726,1
2024-09-20 00:00:00,62966.52931910512,0.024838981093584955,60396.26082237215,59227.70527766881,2745.719358400841,1
2024-09-21 00:00:00,63128.224540748255,0.0025679551245978427,60754.48897491367,59293.82317473821,2816.4440220815536,1
2024-09-22 00:00:00,63403.402349259355,0.004359029744824827,61240.21796754638,59394.351898939734,2909.1270959950134,1
2024-09-23 00:00:00,63582.59956924825,0.00282630290093544,61864.18901057926,59378.78236406282,2884.498447894175,1
2024-09-24 00:00:00,63327.02654450202,-0.004019543498970712,62595.032341038655,59351.11122843028,2840.7282349637253,0
2024-09-25 00:00:00,64334.14274876097,0.01590341848043697,63168.905308081296,59353.38877629802,2844.828894272457,1
2024-09-26 00:00:00,63151.89959401337,-0.018376605395435508,63413.40352366248,59361.03255120639,2855.0394164159943,0
2024-09-27 00:00:00,65130.76884023231,0.03133507082036435,63722.58059810922,59547.83948322775,3043.374966026389,1
2024-09-28 00:00:00,65791.00212541742,0.010137041170275252,64102.9773959191,59773.696342779025,3247.093885186739,1
2024-09-29 00:00:00,65934.10709441357,0.002175144995106626,64464.506645226844,59993.113929560386,3434.5762070947667,1
2024-09-30 00:00:00,65663.68986662335,-0.004101325394503363,64761.805259137574,60210.028723899035,3582.219600381256,0
2024-10-01 00:00:00,63243.27532464382,-0.0368607756721544,64749.840799157835,60352.796681832304,3615.883278152819,0
2024-10-02 00:00:00,60872.668543725544,-0.03748393435901842,64255.34448415276,60469.96176086241,3572.1705677145837,0
2024-10-03 00:00:00,60655.55979196848,-0.003566604799017714,63898.72451243207,60521.5226753068,3562.9967031218616,0
2024-10-04 00:00:00,60727.86395169296,0.001192045048672652,63269.73809978359,60628.96685415588,3517.1867474110018,1
2024-10-05 00:00:00,62103.01047283253,0.02264440788224431,62742.88214941432,60766.13900278028,3490.777382129324,1
2024-10-06 00:00:00,62091.932585194016,-0.0001783792372410664,62194.00007666867,60964.78993121712,3385.9885980962977,0
2024-10-07 00:00:00,62811.79972811266,0.011593569614392951,61786.58719973858,61261.07138513024,3127.62341607199,1
2024-10-08 00:00:00,62287.39010510681,-0.008348902997140861,61650.03216837614,61532.286443336896,2828.252957645822,0
2024-10-09 00:00:00,62185.230423727575,-0.0016401342423698617,61837.54100837644,61778.71387220496,2526.7534239501047,0
2024-10-10 00:00:00,60597.15045618275,-0.025537896325601883,61829.1968175499,61896.981595706275,2376.3011503835364,0
